COMBINED

=== OVERALL STATS.CSV ===
elev,N,count,median,p25,p75
elev,N,count,median,p25,p75
13,2,5,0.668,0.5,0.681
13,3,7,0.644,0.527,0.833
13,5,5,0.634,0.59,0.802
13,6,12,0.698,0.567,0.818
13,7,8,0.688,0.66,0.889
13,8,124,0.333,0.22,0.459
18,0,6,0.704,0.682,0.746
18,2,9,0.711,0.662,0.749
18,5,7,0.702,0.628,0.804
18,6,29,0.665,0.585,0.745
18,7,13,0.523,0.426,0.604
18,8,180,0.284,0.193,0.447

=== YEARLY 2023 ===
elev,N,count,median,p25,p75
8,0,7,0.623,0.592,0.77
8,2,11,0.651,0.54,0.769
8,3,7,0.763,0.52,0.844
8,5,6,0.864,0.73,0.884
8,6,19,0.72,0.629,0.839
8,8,33,0.468,0.372,0.759
13,0,10,0.767,0.52,0.832
13,2,19,0.802,0.516,0.844
13,3,8,0.755,0.667,0.837
13,5,16,0.797,0.623,0.891
13,6,34,0.622,0.518,0.863
13,7,10,0.5,0.37,0.676
13,8,94,0.353,0.215,0.511
18,0,29,0.853,0.679,0.913
18,2,12,0.786,0.631,0.815
18,3,35,0.777,0.646,0.857
18,5,27,0.75,0.589,0.825
18,6,67,0.691,0.533,0.817
18,7,28,0.609,0.483,0.827
18,8,176,0.34,0.193,0.525
23,0,41,0.926,0.891,0.988
23,1,11,0.709,0.659,0.882
23,2,35,0.872,0.705,0.929
23,3,26,0.765,0.692,0.901
23,5,27,0.851,0.735,0.926
23,6,98,0.806,0.565,0.945
23,7,17,0.71,0.478,0.846
23,8,110,0.386,0.222,0.567
28,0,38,0.983,0.92,1.016
28,2,23,1.013,0.853,1.039
28,3,16,0.914,0.817,1.024
28,5,15,0.96,0.783,1.006
28,6,37,0.852,0.79,0.963
28,7,11,0.933,0.538,1.039
28,8,56,0.37,0.244,0.607
33,0,44,1.045,0.94,1.075
33,2,29,1.04,0.964,1.07
33,3,12,0.993,0.864,1.055
33,5,11,0.961,0.789,1.009
33,6,40,0.945,0.799,1.023
33,7,13,0.607,0.518,0.804
33,8,62,0.413,0.277,0.63
38,0,14,0.883,0.85,1.008
38,2,20,0.926,0.86,1.006
38,3,16,0.904,0.884,1.03
38,5,10,0.92,0.695,0.979
38,6,10,0.824,0.644,0.994
38,7,5,0.786,0.655,0.937
38,8,23,0.408,0.294,0.775
43,0,15,0.922,0.82,1.02
43,2,10,0.987,0.972,1.031
43,3,10,0.96,0.936,1.023
43,5,18,0.912,0.861,0.978
43,6,11,0.835,0.417,0.9
43,8,31,0.42,0.207,0.603
48,0,16,0.949,0.935,1.009
48,1,6,1.011,0.939,1.029
48,2,22,0.951,0.931,0.996
48,3,13,0.973,0.958,0.996
48,6,14,0.962,0.677,1.07
48,7,15,0.526,0.405,0.933
48,8,30,0.335,0.18,0.738
53,0,17,1.021,0.967,1.055
53,2,34,0.975,0.956,1.039
53,3,16,0.985,0.944,1.025
53,5,29,0.996,0.951,1.019
53,6,46,0.961,0.799,1.019
53,7,18,0.75,0.511,0.91
53,8,25,0.311,0.174,0.591
58,1,6,0.999,0.99,1.025
58,2,17,1.027,0.986,1.044
58,5,12,1.033,1.02,1.074
58,6,20,1.001,0.955,1.05
58,7,7,0.982,0.925,1.033
58,8,18,0.484,0.269,0.966
63,0,12,0.99,0.953,1.016
63,2,11,1.013,0.95,1.023
63,3,6,0.997,0.941,1.039
63,6,16,1.001,0.938,1.036
63,7,7,0.99,0.627,1.061
63,8,14,0.247,0.208,0.615

=== YEARLY 2024 ===
elev,N,count,median,p25,p75
8,0,6,0.644,0.519,0.706
8,2,12,0.678,0.527,0.762
8,3,6,0.63,0.545,0.705
8,5,8,0.58,0.576,0.596
8,6,21,0.579,0.501,0.661
8,7,18,0.729,0.576,0.787
8,8,67,0.398,0.208,0.572
13,0,24,0.642,0.504,0.742
13,2,28,0.73,0.513,0.842
13,3,14,0.586,0.513,0.682
13,5,17,0.563,0.51,0.707
13,6,25,0.689,0.611,0.908
